name,url,type_,image_url,image_path,effects,interactions
Breakfast,https://bindingofisaacrebirth.fandom.com//wiki/Breakfast,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/5/53/Collectible_Breakfast_icon.png/revision/latest/scale-to-width-down/48?cb=20210821042814,data/images/Breakfast.png,,
Rotten Meat,https://bindingofisaacrebirth.fandom.com//wiki/Rotten_Meat,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/1/1d/Collectible_Rotten_Meat_icon.png/revision/latest/scale-to-width-down/48?cb=20210821034759,data/images/Rotten Meat.png,,
Wooden Spoon,https://bindingofisaacrebirth.fandom.com//wiki/Wooden_Spoon,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/1/11/Collectible_Wooden_Spoon_icon.png/revision/latest/scale-to-width-down/48?cb=20210821043541,data/images/Wooden Spoon.png,,
The Belt,https://bindingofisaacrebirth.fandom.com//wiki/The_Belt,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/c/cb/Collectible_The_Belt_icon.png/revision/latest/scale-to-width-down/48?cb=20210821034937,data/images/The Belt.png,,
Mom's Underwear,https://bindingofisaacrebirth.fandom.com//wiki/Mom%27s_Underwear,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/6/64/Collectible_Mom%27s_Underwear_icon.png/revision/latest/scale-to-width-down/48?cb=20210821041918,data/images/Mom's Underwear.png,,
Mom's Heels,https://bindingofisaacrebirth.fandom.com//wiki/Mom%27s_Heels,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/3/34/Collectible_Mom%27s_Heels_icon.png/revision/latest/scale-to-width-down/48?cb=20210821051755,data/images/Mom's Heels.png,,
Mom's Lipstick,https://bindingofisaacrebirth.fandom.com//wiki/Mom%27s_Lipstick,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/2/2d/Collectible_Mom%27s_Lipstick_icon.png/revision/latest/scale-to-width-down/48?cb=20210821060407,data/images/Mom's Lipstick.png,,
Wire Coat Hanger,https://bindingofisaacrebirth.fandom.com//wiki/Wire_Coat_Hanger,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/1/1d/Collectible_Wire_Coat_Hanger_icon.png/revision/latest/scale-to-width-down/48?cb=20210821073749,data/images/Wire Coat Hanger.png,,
The Bible,https://bindingofisaacrebirth.fandom.com//wiki/The_Bible,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/7/75/Collectible_The_Bible_icon.png/revision/latest/scale-to-width-down/48?cb=20210821040949,data/images/The Bible.png,,
The Book of Belial,https://bindingofisaacrebirth.fandom.com//wiki/The_Book_of_Belial,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/d/d7/Collectible_The_Book_of_Belial_icon.png/revision/latest/scale-to-width-down/48?cb=20210821041053,data/images/The Book of Belial.png,,
The Necronomicon,https://bindingofisaacrebirth.fandom.com//wiki/The_Necronomicon,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/e/e9/Collectible_The_Necronomicon_icon.png/revision/latest/scale-to-width-down/48?cb=20210821054919,data/images/The Necronomicon.png,,
The Poop,https://bindingofisaacrebirth.fandom.com//wiki/The_Poop,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/f/fb/Collectible_The_Poop_icon.png/revision/latest/scale-to-width-down/48?cb=20210821050806,data/images/The Poop.png,,
Mr. Boom,https://bindingofisaacrebirth.fandom.com//wiki/Mr._Boom,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/8/8e/Collectible_Mr._Boom_icon.png/revision/latest/scale-to-width-down/48?cb=20210821061918,data/images/Mr. Boom.png,,
Tammy's Head,https://bindingofisaacrebirth.fandom.com//wiki/Tammy%27s_Head,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/a/a9/Collectible_Tammy%27s_Head_icon.png/revision/latest/scale-to-width-down/48?cb=20210821043333,data/images/Tammy's Head.png,,
Mom's Bra,https://bindingofisaacrebirth.fandom.com//wiki/Mom%27s_Bra,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/4/4b/Collectible_Mom%27s_Bra_icon.png/revision/latest/scale-to-width-down/48?cb=20210821044404,data/images/Mom's Bra.png,,
Kamikaze!,https://bindingofisaacrebirth.fandom.com//wiki/Kamikaze!,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/4/4e/Collectible_Kamikaze%21_icon.png/revision/latest/scale-to-width-down/48?cb=20210821044334,data/images/Kamikaze!.png,,
Mom's Pad,https://bindingofisaacrebirth.fandom.com//wiki/Mom%27s_Pad,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/5/5b/Collectible_Mom%27s_Pad_icon.png/revision/latest/scale-to-width-down/48?cb=20210821044434,data/images/Mom's Pad.png,,
Bob's Rotten Head,https://bindingofisaacrebirth.fandom.com//wiki/Bob%27s_Rotten_Head,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/f/f6/Collectible_Bob%27s_Rotten_Head_icon.png/revision/latest/scale-to-width-down/48?cb=20210821041026,data/images/Bob's Rotten Head.png,,
Teleport!,https://bindingofisaacrebirth.fandom.com//wiki/Teleport!,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/c/c9/Collectible_Teleport%21_icon.png/revision/latest/scale-to-width-down/48?cb=20210821051620,data/images/Teleport!.png,,
Yum Heart,https://bindingofisaacrebirth.fandom.com//wiki/Yum_Heart,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/e/ea/Collectible_Yum_Heart_icon.png/revision/latest/scale-to-width-down/48?cb=20210821044538,data/images/Yum Heart.png,,
Lucky Foot,https://bindingofisaacrebirth.fandom.com//wiki/Lucky_Foot,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/1/18/Collectible_Lucky_Foot_icon.png/revision/latest/scale-to-width-down/48?cb=20210821044608,data/images/Lucky Foot.png,,
Doctor's Remote,https://bindingofisaacrebirth.fandom.com//wiki/Doctor%27s_Remote,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/e/e7/Collectible_Doctor%27s_Remote_icon.png/revision/latest/scale-to-width-down/48?cb=20210821044505,data/images/Doctor's Remote.png,,
Cupid's Arrow,https://bindingofisaacrebirth.fandom.com//wiki/Cupid%27s_Arrow,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/0/02/Collectible_Cupid%27s_Arrow_icon.png/revision/latest/scale-to-width-down/48?cb=20210821043439,data/images/Cupid's Arrow.png,,
Shoop Da Whoop!,https://bindingofisaacrebirth.fandom.com//wiki/Shoop_Da_Whoop!,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/8/8e/Collectible_Shoop_Da_Whoop%21_icon.png/revision/latest/scale-to-width-down/48?cb=20210821044640,data/images/Shoop Da Whoop!.png,,
Steven (Item),https://bindingofisaacrebirth.fandom.com//wiki/Steven_(Item),,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/c/cb/Collectible_Steven_icon.png/revision/latest/scale-to-width-down/48?cb=20210821082228,data/images/Steven (Item).png,,
Pentagram,https://bindingofisaacrebirth.fandom.com//wiki/Pentagram,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/9/91/Collectible_Pentagram_icon.png/revision/latest/scale-to-width-down/48?cb=20210821041337,data/images/Pentagram.png,,
Dr. Fetus,https://bindingofisaacrebirth.fandom.com//wiki/Dr._Fetus,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/6/68/Collectible_Dr._Fetus_icon.png/revision/latest/scale-to-width-down/48?cb=20210821081718,data/images/Dr. Fetus.png,,
Magneto,https://bindingofisaacrebirth.fandom.com//wiki/Magneto,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/d/dc/Collectible_Magneto_icon.png/revision/latest/scale-to-width-down/48?cb=20210821051902,data/images/Magneto.png,,
Treasure Map,https://bindingofisaacrebirth.fandom.com//wiki/Treasure_Map,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/2/25/Collectible_Treasure_Map_icon.png/revision/latest/scale-to-width-down/48?cb=20210821075608,data/images/Treasure Map.png,,
Mom's Eye,https://bindingofisaacrebirth.fandom.com//wiki/Mom%27s_Eye,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/0/06/Collectible_Mom%27s_Eye_icon.png/revision/latest/scale-to-width-down/48?cb=20210821044715,data/images/Mom's Eye.png,,
Lemon Mishap,https://bindingofisaacrebirth.fandom.com//wiki/Lemon_Mishap,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/e/e1/Collectible_Lemon_Mishap_icon.png/revision/latest/scale-to-width-down/48?cb=20210821052003,data/images/Lemon Mishap.png,,
Distant Admiration,https://bindingofisaacrebirth.fandom.com//wiki/Distant_Admiration,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/a/a4/Collectible_Distant_Admiration_icon.png/revision/latest/scale-to-width-down/48?cb=20210821051143,data/images/Distant Admiration.png,,
Book of Shadows,https://bindingofisaacrebirth.fandom.com//wiki/Book_of_Shadows,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/d/de/Collectible_Book_of_Shadows_icon.png/revision/latest/scale-to-width-down/48?cb=20210821041149,data/images/Book of Shadows.png,,
The Ladder,https://bindingofisaacrebirth.fandom.com//wiki/The_Ladder,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/e/ef/Collectible_The_Ladder_icon.png/revision/latest/scale-to-width-down/48?cb=20210821050526,data/images/The Ladder.png,,
Charm of the Vampire,https://bindingofisaacrebirth.fandom.com//wiki/Charm_of_the_Vampire,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/c/c3/Collectible_Charm_of_the_Vampire_icon.png/revision/latest/scale-to-width-down/48?cb=20210821051422,data/images/Charm of the Vampire.png,,
The Battery,https://bindingofisaacrebirth.fandom.com//wiki/The_Battery,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/b/b9/Collectible_The_Battery_icon.png/revision/latest/scale-to-width-down/48?cb=20210821034907,data/images/The Battery.png,,
Steam Sale,https://bindingofisaacrebirth.fandom.com//wiki/Steam_Sale,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/b/b0/Collectible_Steam_Sale_icon.png/revision/latest/scale-to-width-down/48?cb=20210821044753,data/images/Steam Sale.png,,
Anarchist Cookbook,https://bindingofisaacrebirth.fandom.com//wiki/Anarchist_Cookbook,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/c/c6/Collectible_Anarchist_Cookbook_icon.png/revision/latest/scale-to-width-down/48?cb=20210821040839,data/images/Anarchist Cookbook.png,,
The Hourglass,https://bindingofisaacrebirth.fandom.com//wiki/The_Hourglass,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/5/5d/Collectible_The_Hourglass_icon.png/revision/latest/scale-to-width-down/48?cb=20210331180856,data/images/The Hourglass.png,,
Sister Maggy,https://bindingofisaacrebirth.fandom.com//wiki/Sister_Maggy,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/8/8b/Collectible_Sister_Maggy_icon.png/revision/latest/scale-to-width-down/48?cb=20210821040159,data/images/Sister Maggy.png,,
Technology,https://bindingofisaacrebirth.fandom.com//wiki/Technology,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/7/7a/Collectible_Technology_icon.png/revision/latest/scale-to-width-down/48?cb=20210821043712,data/images/Technology.png,,
Chocolate Milk,https://bindingofisaacrebirth.fandom.com//wiki/Chocolate_Milk,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/8/84/Collectible_Chocolate_Milk_icon.png/revision/latest/scale-to-width-down/48?cb=20210821053723,data/images/Chocolate Milk.png,,
Growth Hormones,https://bindingofisaacrebirth.fandom.com//wiki/Growth_Hormones,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/c/ce/Collectible_Growth_Hormones_icon.png/revision/latest/scale-to-width-down/48?cb=20210821042949,data/images/Growth Hormones.png,,
Mini Mush,https://bindingofisaacrebirth.fandom.com//wiki/Mini_Mush,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/7/75/Collectible_Mini_Mush_icon.png/revision/latest/scale-to-width-down/48?cb=20210821052206,data/images/Mini Mush.png,,
Rosary,https://bindingofisaacrebirth.fandom.com//wiki/Rosary,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/d/d2/Collectible_Rosary_icon.png/revision/latest/scale-to-width-down/48?cb=20210821054407,data/images/Rosary.png,,
Cube of Meat,https://bindingofisaacrebirth.fandom.com//wiki/Cube_of_Meat,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/6/68/Collectible_Cube_of_Meat_icon.png/revision/latest/scale-to-width-down/48?cb=20210821044855,data/images/Cube of Meat.png,,
A Quarter,https://bindingofisaacrebirth.fandom.com//wiki/A_Quarter,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/b/be/Collectible_A_Quarter_icon.png/revision/latest/scale-to-width-down/48?cb=20210821040711,data/images/A Quarter.png,,
PHD,https://bindingofisaacrebirth.fandom.com//wiki/PHD,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/8/85/Collectible_PHD_icon.png/revision/latest/scale-to-width-down/48?cb=20210821045049,data/images/PHD.png,,
X-Ray Vision,https://bindingofisaacrebirth.fandom.com//wiki/X-Ray_Vision,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/5/51/Collectible_X-Ray_Vision_icon.png/revision/latest/scale-to-width-down/48?cb=20210821101003,data/images/X-Ray Vision.png,,
My Little Unicorn,https://bindingofisaacrebirth.fandom.com//wiki/My_Little_Unicorn,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/0/07/Collectible_My_Little_Unicorn_icon.png/revision/latest/scale-to-width-down/48?cb=20210821050558,data/images/My Little Unicorn.png,,
Book of Revelations,https://bindingofisaacrebirth.fandom.com//wiki/Book_of_Revelations,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/6/67/Collectible_Book_of_Revelations_icon.png/revision/latest/scale-to-width-down/48?cb=20210821041120,data/images/Book of Revelations.png,,
The Mark,https://bindingofisaacrebirth.fandom.com//wiki/The_Mark,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/b/b4/Collectible_The_Mark_icon.png/revision/latest/scale-to-width-down/48?cb=20210821045020,data/images/The Mark.png,,
The Pact,https://bindingofisaacrebirth.fandom.com//wiki/The_Pact,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/2/27/Collectible_The_Pact_icon.png/revision/latest/scale-to-width-down/48?cb=20210821045425,data/images/The Pact.png,,
Dead Cat,https://bindingofisaacrebirth.fandom.com//wiki/Dead_Cat,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/1/1b/Collectible_Dead_Cat_icon.png/revision/latest/scale-to-width-down/48?cb=20210821044954,data/images/Dead Cat.png,,
Lord of the Pit,https://bindingofisaacrebirth.fandom.com//wiki/Lord_of_the_Pit,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/a/a4/Collectible_Lord_of_the_Pit_icon.png/revision/latest/scale-to-width-down/48?cb=20210821044925,data/images/Lord of the Pit.png,,
The Nail,https://bindingofisaacrebirth.fandom.com//wiki/The_Nail,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/3/3c/Collectible_The_Nail_icon.png/revision/latest/scale-to-width-down/48?cb=20210821075405,data/images/The Nail.png,,
We Need to Go Deeper!,https://bindingofisaacrebirth.fandom.com//wiki/We_Need_to_Go_Deeper!,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/6/63/Collectible_We_Need_to_Go_Deeper%21_icon.png/revision/latest/scale-to-width-down/48?cb=20210822041458,data/images/We Need to Go Deeper!.png,,
Deck of Cards,https://bindingofisaacrebirth.fandom.com//wiki/Deck_of_Cards,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/b/b9/Collectible_Deck_of_Cards_icon.png/revision/latest/scale-to-width-down/48?cb=20210821053437,data/images/Deck of Cards.png,,
Monstro's Tooth,https://bindingofisaacrebirth.fandom.com//wiki/Monstro%27s_Tooth,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/5/5a/Collectible_Monstro%27s_Tooth_icon.png/revision/latest/scale-to-width-down/48?cb=20210821053536,data/images/Monstro's Tooth.png,,
Loki's Horns,https://bindingofisaacrebirth.fandom.com//wiki/Loki%27s_Horns,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/9/95/Collectible_Loki%27s_Horns_icon.png/revision/latest/scale-to-width-down/48?cb=20210821081444,data/images/Loki's Horns.png,,
Little Chubby,https://bindingofisaacrebirth.fandom.com//wiki/Little_Chubby,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/d/dc/Collectible_Little_Chubby_icon.png/revision/latest/scale-to-width-down/48?cb=20210821045120,data/images/Little Chubby.png,,
Spider Bite,https://bindingofisaacrebirth.fandom.com//wiki/Spider_Bite,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/e/ee/Collectible_Spider_Bite_icon.png/revision/latest/scale-to-width-down/48?cb=20210821045149,data/images/Spider Bite.png,,
The Small Rock,https://bindingofisaacrebirth.fandom.com//wiki/The_Small_Rock,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/b/b3/Collectible_The_Small_Rock_icon.png/revision/latest/scale-to-width-down/48?cb=20210821082126,data/images/The Small Rock.png,,
Spelunker Hat,https://bindingofisaacrebirth.fandom.com//wiki/Spelunker_Hat,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/a/a5/Collectible_Spelunker_Hat_icon.png/revision/latest/scale-to-width-down/48?cb=20210821052512,data/images/Spelunker Hat.png,,
Super Bandage,https://bindingofisaacrebirth.fandom.com//wiki/Super_Bandage,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/4/45/Collectible_Super_Bandage_icon.png/revision/latest/scale-to-width-down/48?cb=20210821084041,data/images/Super Bandage.png,,
The Gamekid,https://bindingofisaacrebirth.fandom.com//wiki/The_Gamekid,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/8/8f/Collectible_The_Gamekid_icon.png/revision/latest/scale-to-width-down/48?cb=20210821054845,data/images/The Gamekid.png,,
Sack of Pennies,https://bindingofisaacrebirth.fandom.com//wiki/Sack_of_Pennies,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/f/f3/Collectible_Sack_of_Pennies_icon.png/revision/latest/scale-to-width-down/48?cb=20210821083817,data/images/Sack of Pennies.png,,
Robo-Baby,https://bindingofisaacrebirth.fandom.com//wiki/Robo-Baby,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/a/a3/Collectible_Robo-Baby_icon.png/revision/latest/scale-to-width-down/48?cb=20210821035313,data/images/Robo-Baby.png,,
Little C.H.A.D.,https://bindingofisaacrebirth.fandom.com//wiki/Little_C.H.A.D.,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/3/3b/Collectible_Little_C.H.A.D._icon.png/revision/latest/scale-to-width-down/48?cb=20210821035502,data/images/Little C.H.A.D..png,,
The Book of Sin,https://bindingofisaacrebirth.fandom.com//wiki/The_Book_of_Sin,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/5/5a/Collectible_The_Book_of_Sin_icon.png/revision/latest/scale-to-width-down/48?cb=20210821040808,data/images/The Book of Sin.png,,
The Relic,https://bindingofisaacrebirth.fandom.com//wiki/The_Relic,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/8/85/Collectible_The_Relic_icon.png/revision/latest/scale-to-width-down/48?cb=20210821040301,data/images/The Relic.png,,
Little Gish,https://bindingofisaacrebirth.fandom.com//wiki/Little_Gish,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/9/99/Collectible_Little_Gish_icon.png/revision/latest/scale-to-width-down/48?cb=20210821054100,data/images/Little Gish.png,,
Little Steven,https://bindingofisaacrebirth.fandom.com//wiki/Little_Steven,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/e/e1/Collectible_Little_Steven_icon.png/revision/latest/scale-to-width-down/48?cb=20210821081410,data/images/Little Steven.png,,
The Halo,https://bindingofisaacrebirth.fandom.com//wiki/The_Halo,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/0/0e/Collectible_The_Halo_icon.png/revision/latest/scale-to-width-down/48?cb=20210821040607,data/images/The Halo.png,,
Mom's Bottle of Pills,https://bindingofisaacrebirth.fandom.com//wiki/Mom%27s_Bottle_of_Pills,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/e/ee/Collectible_Mom%27s_Bottle_of_Pills_icon.png/revision/latest/scale-to-width-down/48?cb=20210821045218,data/images/Mom's Bottle of Pills.png,,
The Common Cold,https://bindingofisaacrebirth.fandom.com//wiki/The_Common_Cold,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/b/b8/Collectible_The_Common_Cold_icon.png/revision/latest/scale-to-width-down/48?cb=20210821043409,data/images/The Common Cold.png,,
The Parasite,https://bindingofisaacrebirth.fandom.com//wiki/The_Parasite,,https://static.wikia.nocookie.net/bindingofisaacre_gamepedia/images/7/72/Collectible_The_Parasite_icon.png/revision/latest/scale-to-width-down/48?cb=20210821080114,data/images/The Parasite.png,,
